"","Name","Year","PctDev_Basins_"
"1","07CHR045515","2001",0.391658141773761
"2","07CHR045515","2002",0.393694495206205
"3","07CHR045515","2003",0.395730848638649
"4","07CHR045515","2004",0.397767202071093
"5","07CHR045515","2005",0.400447690662609
"6","07CHR045515","2006",0.403128179254124
"7","07CHR045515","2007",0.403598632353835
"8","07CHR045515","2008",0.404069085453545
"9","07CHR045515","2009",0.404586948555611
"10","07CHR045515","2010",0.405104811657677
"11","07CHR045515","2011",0.405622674759742
"12","07CHR045515","2012",0.411333756575358
"13","07CHR045515","2013",0.417044838390974
"14","07CHR045515","2014",0.417044838390974
"15","07CHR045515","2015",0.417044838390974
"16","07CHR045515","2016",0.417044838390974
"17","07CHR045515","2017",0.417555407646548
"18","07CHR045515","2018",0.418065976902122
"19","07CHR045515","2019",0.418576546157696
"20","07CHR045515","2020",0.420072013067914
"21","07CHR045515","2021",0.421567479978133
"22","07CHR045515","2022",0.423062946888352
"23","07CHR070059","2001",1.08009766047645
"24","07CHR070059","2002",1.08795107186197
"25","07CHR070059","2003",1.09580448324749
"26","07CHR070059","2004",1.10365789463301
"27","07CHR070059","2005",1.11193269287527
"28","07CHR070059","2006",1.12020749111753
"29","07CHR070059","2007",1.12180882759797
"30","07CHR070059","2008",1.12341016407841
"31","07CHR070059","2009",1.12631145136351
"32","07CHR070059","2010",1.12921273864861
"33","07CHR070059","2011",1.1321140259337
"34","07CHR070059","2012",1.15240260532821
"35","07CHR070059","2013",1.17269118472271
"36","07CHR070059","2014",1.17269118472271
"37","07CHR070059","2015",1.17269118472271
"38","07CHR070059","2016",1.17269118472271
"39","07CHR070059","2017",1.17526556639832
"40","07CHR070059","2018",1.17783994807393
"41","07CHR070059","2019",1.18041432974953
"42","07CHR070059","2020",1.18598747804248
"43","07CHR070059","2021",1.19156062633543
"44","07CHR070059","2022",1.19713377462838
"45","07CHR234411","2001",0.642232439564993
"46","07CHR234411","2002",0.64550316008538
"47","07CHR234411","2003",0.648773880605768
"48","07CHR234411","2004",0.652044601126155
"49","07CHR234411","2005",0.655966462658299
